"H","S","fmax","fmin","A","B","Well","Temperature","Reading","Emission"
-56.2,-0.1364,2,0.2,200,400,"A9",23.5,8,0.250711295595371
-56.2,-0.1364,2,0.2,200,600,"A10",23.5,8,0.238860318392855
-56.2,-0.1364,2,0.2,200,800,"A11",23.5,8,0.227640056457643
-56.2,-0.1364,2,0.2,200,1000,"A12",23.5,8,0.179037956298743
-56.2,-0.1364,2,0.2,200,0,"B1",23.5,8,2.02653955786845
-56.2,-0.1364,2,0.2,200,1,"B2",23.5,8,1.96921895936805
-56.2,-0.1364,2,0.2,200,10,"B3",23.5,8,1.87465141591203
-56.2,-0.1364,2,0.2,200,50,"B4",23.5,8,1.62813310040849
-56.2,-0.1364,2,0.2,200,100,"B5",23.5,8,1.08188423660537
-56.2,-0.1364,2,0.2,200,150,"B6",23.5,8,0.636990724378214
-56.2,-0.1364,2,0.2,200,200,"B7",23.5,8,0.20590057253167
-56.2,-0.1364,2,0.2,200,250,"B8",23.5,8,0.247015846654037
-56.2,-0.1364,2,0.2,200,400,"B9",23.5,8,0.0971275459785635
-56.2,-0.1364,2,0.2,200,600,"B10",23.5,8,0.230646080672631
-56.2,-0.1364,2,0.2,200,800,"B11",23.5,8,0.110507925283706
-56.2,-0.1364,2,0.2,200,1000,"B12",23.5,8,0.214993070505324
-56.2,-0.1364,2,0.2,200,0,"B1",23.5,8,2.00144150187607
-56.2,-0.1364,2,0.2,200,1,"B2",23.5,8,2.02229203845828
-56.2,-0.1364,2,0.2,200,10,"B3",23.5,8,1.9235533464159
-56.2,-0.1364,2,0.2,200,50,"B4",23.5,8,1.43109095444825
-56.2,-0.1364,2,0.2,200,100,"B5",23.5,8,1.08347648837468
-56.2,-0.1364,2,0.2,200,150,"B6",23.5,8,0.631846032229851
-56.2,-0.1364,2,0.2,200,200,"B7",23.5,8,0.181795727817978
-56.2,-0.1364,2,0.2,200,250,"B8",23.5,8,0.210966878826233
-56.2,-0.1364,2,0.2,200,400,"B9",23.5,8,0.261637594628834
-56.2,-0.1364,2,0.2,200,600,"B10",23.5,8,0.215260263356884
-56.2,-0.1364,2,0.2,200,800,"B11",23.5,8,0.218694748163284
-56.2,-0.1364,2,0.2,200,1000,"B12",23.5,8,0.215058260618733
-56.2,-0.1364,2,0.2,200,0,"A1",24,9,1.95387016134769
-56.2,-0.1364,2,0.2,200,1,"A2",24,9,1.9178523410809
-56.2,-0.1364,2,0.2,200,10,"A3",24,9,1.97620884797917
-56.2,-0.1364,2,0.2,200,50,"A4",24,9,1.53655047552412
-56.2,-0.1364,2,0.2,200,100,"A5",24,9,1.12365704589226
-56.2,-0.1364,2,0.2,200,150,"A6",24,9,0.656021369194058
-56.2,-0.1364,2,0.2,200,200,"A7",24,9,0.216203613454187
-56.2,-0.1364,2,0.2,200,250,"A8",24,9,0.239403596763821
-56.2,-0.1364,2,0.2,200,400,"A9",24,9,0.220439520981649
-56.2,-0.1364,2,0.2,200,600,"A10",24,9,0.143439519935586
-56.2,-0.1364,2,0.2,200,800,"A11",24,9,0.230050616137904
-56.2,-0.1364,2,0.2,200,1000,"A12",24,9,0.164767495336777
-56.2,-0.1364,2,0.2,200,0,"B1",24,9,2.08590809050964
-56.2,-0.1364,2,0.2,200,1,"B2",24,9,1.93354180355439
-56.2,-0.1364,2,0.2,200,10,"B3",24,9,1.93715665059825
-56.2,-0.1364,2,0.2,200,50,"B4",24,9,1.46772434893314
-56.2,-0.1364,2,0.2,200,100,"B5",24,9,1.16226098994501
-56.2,-0.1364,2,0.2,200,150,"B6",24,9,0.608197088571543
-56.2,-0.1364,2,0.2,200,200,"B7",24,9,0.272412066084844
-56.2,-0.1364,2,0.2,200,250,"B8",24,9,0.22492589830231
-56.2,-0.1364,2,0.2,200,400,"B9",24,9,0.176144933797122
-56.2,-0.1364,2,0.2,200,600,"B10",24,9,0.179575124651203
-56.2,-0.1364,2,0.2,200,800,"B11",24,9,0.193690020962936
-56.2,-0.1364,2,0.2,200,1000,"B12",24,9,0.18930373671905
-56.2,-0.1364,2,0.2,200,0,"B1",24,9,2.035482682831
-56.2,-0.1364,2,0.2,200,1,"B2",24,9,2.03655020318748
-56.2,-0.1364,2,0.2,200,10,"B3",24,9,1.93655201920803
-56.2,-0.1364,2,0.2,200,50,"B4",24,9,1.51402112859094
-56.2,-0.1364,2,0.2,200,100,"B5",24,9,1.10903917722673
-56.2,-0.1364,2,0.2,200,150,"B6",24,9,0.642369893071491
-56.2,-0.1364,2,0.2,200,200,"B7",24,9,0.213644527387741
-56.2,-0.1364,2,0.2,200,250,"B8",24,9,0.167991046993803
-56.2,-0.1364,2,0.2,200,400,"B9",24,9,0.243973441264147
-56.2,-0.1364,2,0.2,200,600,"B10",24,9,0.21673018955018
-56.2,-0.1364,2,0.2,200,800,"B11",24,9,0.228409237509952
-56.2,-0.1364,2,0.2,200,1000,"B12",24,9,0.141626301815665
-56.2,-0.1364,2,0.2,200,0,"A1",24.5,10,1.99058047369969
-56.2,-0.1364,2,0.2,200,1,"A2",24.5,10,1.97644803931214
-56.2,-0.1364,2,0.2,200,10,"A3",24.5,10,1.8817282406442
-56.2,-0.1364,2,0.2,200,50,"A4",24.5,10,1.51987706680053
-56.2,-0.1364,2,0.2,200,100,"A5",24.5,10,1.12177241721881
-56.2,-0.1364,2,0.2,200,150,"A6",24.5,10,0.623099312301546
-56.2,-0.1364,2,0.2,200,200,"A7",24.5,10,0.232450925058008
-56.2,-0.1364,2,0.2,200,250,"A8",24.5,10,0.23967207399309
-56.2,-0.1364,2,0.2,200,400,"A9",24.5,10,0.113397551477432
-56.2,-0.1364,2,0.2,200,600,"A10",24.5,10,0.186490930583213
-56.2,-0.1364,2,0.2,200,800,"A11",24.5,10,0.166147666221613
-56.2,-0.1364,2,0.2,200,1000,"A12",24.5,10,0.250080186617453
-56.2,-0.1364,2,0.2,200,0,"B1",24.5,10,1.95792809183443
-56.2,-0.1364,2,0.2,200,1,"B2",24.5,10,1.97222566260204
-56.2,-0.1364,2,0.2,200,10,"B3",24.5,10,1.82973913784139
-56.2,-0.1364,2,0.2,200,50,"B4",24.5,10,1.56098293124501
-56.2,-0.1364,2,0.2,200,100,"B5",24.5,10,1.08646685309021
-56.2,-0.1364,2,0.2,200,150,"B6",24.5,10,0.615476529304224
-56.2,-0.1364,2,0.2,200,200,"B7",24.5,10,0.184497322477732
-56.2,-0.1364,2,0.2,200,250,"B8",24.5,10,0.247893095121571
-56.2,-0.1364,2,0.2,200,400,"B9",24.5,10,0.138253146141508
-56.2,-0.1364,2,0.2,200,600,"B10",24.5,10,0.222779193684019
-56.2,-0.1364,2,0.2,200,800,"B11",24.5,10,0.237408529196951
-56.2,-0.1364,2,0.2,200,1000,"B12",24.5,10,0.114900170129014
-56.2,-0.1364,2,0.2,200,0,"B1",24.5,10,2.03127231840583
-56.2,-0.1364,2,0.2,200,1,"B2",24.5,10,1.95812427235589
-56.2,-0.1364,2,0.2,200,10,"B3",24.5,10,1.85481501141614
-56.2,-0.1364,2,0.2,200,50,"B4",24.5,10,1.52404963371443
-56.2,-0.1364,2,0.2,200,100,"B5",24.5,10,1.19110676904121
-56.2,-0.1364,2,0.2,200,150,"B6",24.5,10,0.712518419253339
-56.2,-0.1364,2,0.2,200,200,"B7",24.5,10,0.238405259980648
-56.2,-0.1364,2,0.2,200,250,"B8",24.5,10,0.282917857374613
-56.2,-0.1364,2,0.2,200,400,"B9",24.5,10,0.285441754070898
-56.2,-0.1364,2,0.2,200,600,"B10",24.5,10,0.230291091761429
-56.2,-0.1364,2,0.2,200,800,"B11",24.5,10,0.176382313636027
-56.2,-0.1364,2,0.2,200,1000,"B12",24.5,10,0.167779082718002
-56.2,-0.1364,2,0.2,200,0,"A1",25,11,2.01148446233533
-56.2,-0.1364,2,0.2,200,1,"A2",25,11,2.00721828341821
-56.2,-0.1364,2,0.2,200,10,"A3",25,11,1.92451179604586
-56.2,-0.1364,2,0.2,200,50,"A4",25,11,1.55343763337565
