"H","S","fmax","fmin","A","B","Well","Temperature","Reading","Emission"
-56.2,-0.1364,2,0.2,200,1,"B2",22,5,1.95557324058041
-56.2,-0.1364,2,0.2,200,10,"B3",22,5,1.92470535272556
-56.2,-0.1364,2,0.2,200,50,"B4",22,5,1.46376665192237
-56.2,-0.1364,2,0.2,200,100,"B5",22,5,1.02811369786094
-56.2,-0.1364,2,0.2,200,150,"B6",22,5,0.62032504075568
-56.2,-0.1364,2,0.2,200,200,"B7",22,5,0.187244407522623
-56.2,-0.1364,2,0.2,200,250,"B8",22,5,0.183866402663167
-56.2,-0.1364,2,0.2,200,400,"B9",22,5,0.17945002054303
-56.2,-0.1364,2,0.2,200,600,"B10",22,5,0.212528032973795
-56.2,-0.1364,2,0.2,200,800,"B11",22,5,0.145855613403264
-56.2,-0.1364,2,0.2,200,1000,"B12",22,5,0.224222439058123
-56.2,-0.1364,2,0.2,200,0,"A1",22.5,6,1.92944295164361
-56.2,-0.1364,2,0.2,200,1,"A2",22.5,6,2.04522747261834
-56.2,-0.1364,2,0.2,200,10,"A3",22.5,6,1.90684271124189
-56.2,-0.1364,2,0.2,200,50,"A4",22.5,6,1.52612830878667
-56.2,-0.1364,2,0.2,200,100,"A5",22.5,6,1.08132312938157
-56.2,-0.1364,2,0.2,200,150,"A6",22.5,6,0.664245821184329
-56.2,-0.1364,2,0.2,200,200,"A7",22.5,6,0.120233248669861
-56.2,-0.1364,2,0.2,200,250,"A8",22.5,6,0.184183830648691
-56.2,-0.1364,2,0.2,200,400,"A9",22.5,6,0.127700010549814
-56.2,-0.1364,2,0.2,200,600,"A10",22.5,6,0.182922455969022
-56.2,-0.1364,2,0.2,200,800,"A11",22.5,6,0.129861097186093
-56.2,-0.1364,2,0.2,200,1000,"A12",22.5,6,0.187745799008205
-56.2,-0.1364,2,0.2,200,0,"B1",22.5,6,2.08042772712898
-56.2,-0.1364,2,0.2,200,1,"B2",22.5,6,2.00953974942871
-56.2,-0.1364,2,0.2,200,10,"B3",22.5,6,1.89440986938951
-56.2,-0.1364,2,0.2,200,50,"B4",22.5,6,1.55879414454054
-56.2,-0.1364,2,0.2,200,100,"B5",22.5,6,1.14746639532959
-56.2,-0.1364,2,0.2,200,150,"B6",22.5,6,0.675539293454543
-56.2,-0.1364,2,0.2,200,200,"B7",22.5,6,0.272190056991754
-56.2,-0.1364,2,0.2,200,250,"B8",22.5,6,0.122196166461464
-56.2,-0.1364,2,0.2,200,400,"B9",22.5,6,0.112680835621042
-56.2,-0.1364,2,0.2,200,600,"B10",22.5,6,0.15591739142031
-56.2,-0.1364,2,0.2,200,800,"B11",22.5,6,0.302730719005437
-56.2,-0.1364,2,0.2,200,1000,"B12",22.5,6,0.206526031596561
-56.2,-0.1364,2,0.2,200,0,"B1",22.5,6,1.97655994089202
-56.2,-0.1364,2,0.2,200,1,"B2",22.5,6,1.94262262788232
-56.2,-0.1364,2,0.2,200,10,"B3",22.5,6,1.90859867254634
-56.2,-0.1364,2,0.2,200,50,"B4",22.5,6,1.52706413766219
-56.2,-0.1364,2,0.2,200,100,"B5",22.5,6,1.0908785913268
-56.2,-0.1364,2,0.2,200,150,"B6",22.5,6,0.662578019662066
-56.2,-0.1364,2,0.2,200,200,"B7",22.5,6,0.203509847779133
-56.2,-0.1364,2,0.2,200,250,"B8",22.5,6,0.215304668976105
-56.2,-0.1364,2,0.2,200,400,"B9",22.5,6,0.175322851036749
-56.2,-0.1364,2,0.2,200,600,"B10",22.5,6,0.223988429792927
-56.2,-0.1364,2,0.2,200,800,"B11",22.5,6,0.18175037106531
-56.2,-0.1364,2,0.2,200,1000,"B12",22.5,6,0.114472306156426
-56.2,-0.1364,2,0.2,200,0,"A1",23,7,1.97269112058581
-56.2,-0.1364,2,0.2,200,1,"A2",23,7,1.98088635023086
-56.2,-0.1364,2,0.2,200,10,"A3",23,7,1.85901580334159
-56.2,-0.1364,2,0.2,200,50,"A4",23,7,1.53379890146021
-56.2,-0.1364,2,0.2,200,100,"A5",23,7,1.19114588080801
-56.2,-0.1364,2,0.2,200,150,"A6",23,7,0.721241774764568
-56.2,-0.1364,2,0.2,200,200,"A7",23,7,0.188491328665949
-56.2,-0.1364,2,0.2,200,250,"A8",23,7,0.242620840590726
-56.2,-0.1364,2,0.2,200,400,"A9",23,7,0.17042486198987
-56.2,-0.1364,2,0.2,200,600,"A10",23,7,0.18405743136671
-56.2,-0.1364,2,0.2,200,800,"A11",23,7,0.182720335922944
-56.2,-0.1364,2,0.2,200,1000,"A12",23,7,0.234392511406615
-56.2,-0.1364,2,0.2,200,0,"B1",23,7,2.03671840245282
-56.2,-0.1364,2,0.2,200,1,"B2",23,7,2.00364092627033
-56.2,-0.1364,2,0.2,200,10,"B3",23,7,1.87295473928452
-56.2,-0.1364,2,0.2,200,50,"B4",23,7,1.56661480684368
-56.2,-0.1364,2,0.2,200,100,"B5",23,7,1.18295071274437
-56.2,-0.1364,2,0.2,200,150,"B6",23,7,0.69685986533874
-56.2,-0.1364,2,0.2,200,200,"B7",23,7,0.169681258741422
-56.2,-0.1364,2,0.2,200,250,"B8",23,7,0.190627675412576
-56.2,-0.1364,2,0.2,200,400,"B9",23,7,0.277031130447225
-56.2,-0.1364,2,0.2,200,600,"B10",23,7,0.177832432799204
-56.2,-0.1364,2,0.2,200,800,"B11",23,7,0.15269578135666
-56.2,-0.1364,2,0.2,200,1000,"B12",23,7,0.209214013206716
-56.2,-0.1364,2,0.2,200,0,"B1",23,7,2.02148545547097
-56.2,-0.1364,2,0.2,200,1,"B2",23,7,2.01300137630757
-56.2,-0.1364,2,0.2,200,10,"B3",23,7,1.90358243335243
-56.2,-0.1364,2,0.2,200,50,"B4",23,7,1.57995210468026
-56.2,-0.1364,2,0.2,200,100,"B5",23,7,1.10305368192712
-56.2,-0.1364,2,0.2,200,150,"B6",23,7,0.650092238960018
-56.2,-0.1364,2,0.2,200,200,"B7",23,7,0.269561989044172
-56.2,-0.1364,2,0.2,200,250,"B8",23,7,0.179528776672355
-56.2,-0.1364,2,0.2,200,400,"B9",23,7,0.252098159614393
