#
# Fitted experimental I(q) and calculated I(q) in multi-column format
#
# Columns 1 though 5 are:
#   1) Q (from experimental data)
#   2) Fitted experimental I(q)
#   3) Experimental error after fit
#   4) Calculated/model I(q) (no fit)
#   5) Error of calculated I(q)
#
    1.2998      7.34396e+06 3.2368e+06      8.3193e+06      60765
   1.30791      1.15574e+07 3.19887e+06      8.18705e+06    60302.7
   1.31603      8.2413e+06 3.2213e+06      8.0553e+06      59843
   1.32414      6.95211e+06 3.18011e+06      7.9237e+06    59383.9
   1.33225      1.04578e+07 3.17387e+06      7.79211e+06    58924.7
   1.34037      5.56552e+06 3.01473e+06      7.66036e+06      58465
   1.34848          302857 3.07278e+06      7.52876e+06    58005.9
    1.3566      9.8338e+06 3.04459e+06      7.39701e+06    57546.2
   1.36471      5.73993e+06 3.18842e+06      7.26542e+06    57087.1
   1.37282      1.26468e+07 3.03437e+06      7.13382e+06    56627.9
   1.38094      1.2402e+07 2.98944e+06      7.00207e+06    56168.2
   1.38905      7.07976e+06 3.04715e+06      6.87047e+06    55709.1
   1.39716      7.06999e+06 3.02236e+06      6.73888e+06      55250
   1.40528      6.77958e+06 3.03123e+06      6.62314e+06    54784.2
   1.41339      3.68765e+06 3.02358e+06      6.51615e+06    54315.8
   1.42151      1.08985e+07 2.89385e+06      6.40902e+06    53846.7
   1.42962      6.66752e+06 2.85127e+06      6.30203e+06    53378.3
   1.43773      4.15046e+06 2.98574e+06      6.19503e+06    52909.8
   1.44585      7.44737e+06 2.94298e+06      6.08791e+06    52440.8
   1.45396      4.82189e+06 2.95399e+06      5.98091e+06    51972.4
   1.46207      1.15036e+07 2.88679e+06      5.87392e+06    51503.9
   1.47019      3.19982e+06 2.89729e+06      5.76679e+06    51034.9
    1.4783      5.91883e+06 2.96606e+06      5.6598e+06    50566.4
   1.48641      3.55013e+06 2.8887e+06      5.5528e+06      50098
   1.49453      6.23303e+06 2.89225e+06      5.44568e+06      49629
   1.50264      5.45482e+06 2.83014e+06      5.3451e+06    49122.2
   1.51076      4.7658e+06 2.86718e+06      5.2577e+06    48535.1
   1.51887      5.07687e+06 2.93822e+06      5.17042e+06    47948.9
   1.52698      4.30682e+06 2.82538e+06      5.08314e+06    47362.6
    1.5351      5.70911e+06 2.89785e+06      4.99574e+06    46775.6
   1.54321      8.43353e+06 2.87206e+06      4.90846e+06    46189.3
   1.55132      6.23964e+06 2.90268e+06      4.82117e+06      45603
   1.55944      5.41349e+06 2.88276e+06      4.73378e+06      45016
   1.56755      7.24416e+06 2.89121e+06      4.6465e+06    44429.7
   1.57567      -2.50782e+06 2.85875e+06      4.5591e+06    43842.7
   1.58378      6.68932e+06 2.87566e+06      4.47182e+06    43256.5
   1.59189      3.95564e+06 2.8998e+06      4.38453e+06    42670.2
   1.60001         -844946 2.88496e+06      4.29716e+06    42083.1
   1.60812      1.78667e+06 2.86403e+06      4.22436e+06    41453.8
   1.61623      5.87266e+06 2.81441e+06      4.15157e+06    40824.4
   1.62435      1.46376e+06 2.89162e+06      4.07868e+06    40194.3
   1.63246      4.77275e+06 2.90323e+06      4.00589e+06    39564.9
   1.64058      6.16211e+06 2.8321e+06       3.933e+06    38934.8
   1.64869      4.57751e+06 2.86104e+06      3.86021e+06    38305.5
    1.6568      1.19808e+06 2.85772e+06      3.78741e+06    37676.1
   1.66492      1.15096e+07 2.82662e+06      3.71453e+06      37046
   1.67303      4.94746e+06 2.92615e+06      3.64173e+06    36416.6
   1.68114      7.88791e+06 2.82708e+06      3.56894e+06    35787.3
   1.68926      3.95773e+06 2.95932e+06      3.49605e+06    35157.1
   1.69737      4.16313e+06 2.89799e+06      3.42326e+06    34527.8
   1.70549      -2.298e+06 2.99032e+06      3.35798e+06    33936.7
    1.7136      5.68274e+06 2.95872e+06      3.29643e+06    33365.1
   1.72171      5.46394e+06 2.96253e+06      3.23488e+06    32793.5
   1.72983      6.27692e+06 3.07159e+06      3.17325e+06    32221.2
   1.73794      4.26867e+06 3.07924e+06      3.1117e+06    31649.6
   1.74605      3.84377e+06 3.01278e+06      3.05015e+06      31078
   1.75417         -144813 3.12574e+06      2.98852e+06    30505.6
   1.76228      2.80002e+06 3.02103e+06      2.92697e+06      29934
    1.7704          989343 2.99263e+06      2.86534e+06    29361.7
   1.77851      4.58323e+06 3.03708e+06      2.80379e+06    28790.1
   1.78662      2.60922e+06 3.01276e+06      2.74224e+06    28218.5
   1.79474      2.0496e+06 3.00553e+06      2.68061e+06    27646.1
   1.80285         -171215 3.00246e+06      2.62267e+06    27106.3
   1.81096      1.66894e+06 2.96442e+06      2.57139e+06    26625.3
   1.81908      2.71859e+06 3.03296e+06      2.52005e+06    26143.6
   1.82719      -1.4203e+06 2.94742e+06      2.46878e+06    25662.5
   1.83531      6.52009e+06 3.04246e+06      2.41744e+06    25180.8
   1.84342      6.16975e+06 2.98734e+06      2.36616e+06    24699.7
   1.85153      -1.46969e+06 3.0504e+06      2.31488e+06    24218.6
   1.85965      1.10574e+07 3.01025e+06      2.26354e+06      23737
   1.86776      -2.6671e+06 3.08633e+06      2.21226e+06    23255.9
   1.87587      4.8118e+06 3.04136e+06      2.16099e+06    22774.8
   1.88399      1.42369e+06 3.01835e+06      2.10965e+06    22293.1
    1.8921      5.93422e+06 3.04972e+06      2.05837e+06      21812
   1.90022         49981.2 3.06312e+06      2.00731e+06      21334
   1.90833      2.83298e+06 2.98169e+06      1.96636e+06    20986.3
   1.91644      3.60126e+06 2.96651e+06      1.92541e+06    20638.6
   1.92456          988834 3.04745e+06      1.88442e+06    20290.4
