Sample description: RNA2
Sample: RNA2 c= 0.1 Code: Nov22
Subtracted from raw files: "C:\Data\Guanine-aptamer-Nov22\NTPCM-RNA-rep1_0005.img" "C:\Data\Guanine-aptamer-Nov22\NTPCM-buf-rep1_0002.img"
Processed by SAXSLab Tue Nov 23 16:11:22 2021
BeamCenter_X: 754.063 BeamCenter_Y: 199.402
Exposure time (sec): 3600
Pin diode (mean): 5.8665e-08
==============================================
0.308375 -0.0323288 0.0232714
0.309186 -0.016282 0.0235732
0.309997 0.0342047 0.0232868
0.310808 -0.0100596 0.0234668
0.311619 -0.0195137 0.0232794
0.31243 -0.0488504 0.0230717
0.313241 -0.0124751 0.02365
0.314052 -0.0204746 0.0237594
0.314863 -0.0278176 0.0239239
0.315675 0.00739957 0.02157
0.316486 -0.0323689 0.0231726
0.317297 -0.0182542 0.0237153
0.318108 0.0054021 0.0239105
0.318919 0.000631939 0.0229277
0.31973 0.0127346 0.0234776
0.320541 -0.00291386 0.0235216
0.321352 -0.00108298 0.0226214
0.322163 0.0166761 0.0233293
0.322974 0.00607485 0.0235498
0.323785 0.00911883 0.0225619
0.324597 0.00491239 0.0229088
0.325408 0.010322 0.0231222
0.326219 -0.033874 0.0230692
0.32703 -0.00438369 0.0237223
0.327841 -0.00302636 0.0232287
0.328652 -0.00949605 0.0224186
0.329463 0.00114417 0.0225464
0.330274 -0.0224905 0.0234721
0.331085 0.0237502 0.0224508
0.331896 -0.00960092 0.023155
0.332707 -0.0210893 0.0231244
0.333518 0.0240046 0.0225339
0.33433 -0.0425059 0.0225968
0.335141 0.000464179 0.0235751
0.335952 -0.0223773 0.0225783
0.336763 -0.0363795 0.0230746
0.337574 -0.0315245 0.0228957
0.338385 0.0094837 0.0234416
0.339196 -0.0471727 0.022858
0.340007 -0.0335891 0.0235923
0.340818 0.0024351 0.0230267
0.341629 -0.0213879 0.0230936
0.34244 0.00441834 0.0231947
0.343252 -0.0118732 0.0230008
0.344063 -0.0353333 0.0222264
0.344874 0.00367557 0.022837
0.345685 0.0204259 0.0228948
0.346496 0.0100631 0.021953
0.347307 -0.0146695 0.0229713
0.348118 -0.0231138 0.0224784
0.348929 0.00530641 0.0221997
0.34974 -0.0315877 0.0233175
0.350551 -0.00800517 0.0232408
0.351362 -0.0228851 0.022563
0.352174 -0.0366582 0.0238205
0.352985 -0.0328014 0.022991
0.353796 -0.0415013 0.0231263
0.354607 -0.025829 0.0230077
0.355418 -0.0422214 0.0228191
0.356229 -0.00372062 0.0220183
0.35704 -0.0193766 0.0223018
0.357851 -0.0345135 0.0228223
0.358662 -0.0428418 0.0226024
0.359473 -0.0251426 0.0223968
0.360284 -0.00902637 0.0227178
0.361095 -0.0221911 0.022455
0.361907 -0.0167112 0.0223934
0.362718 0.0153248 0.0223214
0.363529 0.0144912 0.022884
0.36434 0.0146743 0.0231406
0.365151 0.0266294 0.0217884
0.365962 0.034934 0.0221428
0.366773 0.029015 0.0234947
0.367584 -0.00164305 0.0226793
0.368395 0.0164115 0.0226892
0.369206 0.00586712 0.0229368
0.370017 0.039525 0.022779
0.370829 0.026598 0.0227644
0.37164 -0.0397333 0.0219869
0.372451 -0.00583393 0.0224069
0.373262 -0.0136928 0.0229011
0.374073 -0.00286573 0.0224797
0.374884 -0.037906 0.0229612
0.375695 -0.0262563 0.0232864
0.376506 0.00797792 0.0229126
0.377317 -0.0181864 0.0226419
0.378128 0.0130897 0.0219903
0.378939 0.0013082 0.0225424
0.379751 -0.00577041 0.0225078
0.380562 -0.036772 0.0213002
0.381373 0.00616188 0.0211557
0.382184 -0.0209426 0.0218817
0.382995 -0.0187587 0.0218741
0.383806 0.0243673 0.0220662
0.384617 0.00382054 0.0221988
0.385428 -0.0336179 0.0218324
0.386239 0.0143456 0.022731
0.38705 0.015261 0.0219445
0.387861 0.015928 0.0213832
0.388672 -0.00652672 0.0221922
0.389484 -0.0529895 0.0221694
0.390295 0.0019441 0.0224856
0.391106 0.0300576 0.0222426
0.391917 0.0493731 0.0221491
0.392728 0.0222106 0.0219893
0.393539 -0.00595545 0.0216946
0.39435 -0.0172708 0.0216771
0.395161 0.0216407 0.0213562
0.395972 -0.0229164 0.022008
0.396783 -0.0428769 0.0217422
0.397594 -0.0164384 0.0230971
0.398406 0.0145542 0.0217956
0.399217 -0.0197657 0.0223027
0.400028 0.0152436 0.022542
0.400839 -0.00571927 0.0220811
0.40165 0.0272803 0.0226023
0.402461 -0.0643881 0.0219286
0.403272 0.00786166 0.0217441
0.404083 0.0122473 0.0209431
0.404894 0.00296725 0.0219786
0.405705 -0.0029332 0.0220673
0.406516 -0.0181554 0.0216121
0.407328 0.0177488 0.0214571
0.408139 -0.0164209 0.0216878
0.40895 0.00331819 0.0217349
0.409761 -0.0404972 0.0217501
0.410572 -0.0096228 0.021442
