"i","Mg.T","Mg.free","Mg.free.NTP","Mg.free.WMCM"
83,19.396188147647,0.422788895875289,0.485504960538836,7.71895208341844
83,20.0711237882209,0.463076143798836,0.540980015590851,8.0423113942011
83,20.7695453898222,0.509541145883747,0.607559282888997,8.38038907201964
83,21.492270201285,0.562017118486233,0.687038071593185,8.73356880221819
83,22.2401439095245,0.624638473199675,0.78620426918265,9.10274056442243
83,23.0140416291055,0.695365795288196,0.908403047094062,9.48606026149737
83,23.8148689262473,0.780155789342642,1.06333498624447,9.89232728969435
83,24.6435628784592,0.876929702507458,1.26276525190485,10.3157926434208
83,25.5010931710498,0.991988637931784,1.51601154445288,10.7571395433739
83,26.3884632317916,1.12683642667372,1.84831030371743,11.2170755585568
83,27.3067114050683,1.28193788734484,2.26895822254853,11.7031346603178
83,28.2569121668804,1.46330054904615,2.78772543756891,12.2090067909929
83,29.2401773821287,1.67154505083895,3.43137251517014,12.7383757518474
83,30.2576576056484,1.90892536528202,4.1626427428647,13.2921615945665
83,31.3105434285162,2.17865663714486,4.9924651440588,13.8732672244607
83,32.4000668712037,2.47906516991935,5.90279568660357,14.4772497653348
83,33.5275028252113,2.81570192783471,6.90029525758092,15.1118101688001
83,34.6941705448642,3.18402099563866,7.95924528774911,15.773559325288
83,35.9014351910219,3.5899979424842,9.07747472612151,16.4681537200064
83,37.150709428502,4.02993334979868,10.2527635817318,17.1890615119448
83,38.4434550790921,4.5069960122945,11.4769653192467,17.9519726261917
83,39.7811848320811,5.0233193558012,12.7616427950078,18.7467607092787
83,41.1654640143122,5.57679343880854,14.1030900592615,19.5746395608167
83,42.5979124218304,6.17375076945862,15.5008465078074,20.4438072923122
83,44.0802062152645,6.81392473969824,16.947142802465,21.3512537247182
83,45.6140798811649,7.49217884992089,18.4521983086793,22.3004002308141
83,47.2013282615904,8.21817869172155,20.0160135636158,23.2927171328282
83,48.8438086543184,8.99346295682608,21.6337724267799,24.3331354642911
83,50.5434429861377,9.81697190694582,23.3068279871907,25.4142736521559
