"Well","A","B","Tm","invT","Helix","Condition"
"A7",256.488615086549,150,44.3075060818919,0.00315002789614947,"J","Monovalent"
"A8",256.488615086549,100,44.222736453964,0.00315086926234779,"J","Monovalent"
"B2",256.488615086549,800,47.3183516007407,0.0031204329382449,"J","Monovalent"
"B3",256.488615086549,600,46.7214748317117,0.00312625563291041,"J","Monovalent"
"B4",256.488615086549,400,45.449794086967,0.0031387339808733,"J","Monovalent"
"B5",256.488615086549,250,44.1787963933333,0.00315130555866883,"J","Monovalent"
"B6",256.488615086549,200,44.3907285101501,0.00314920232340537,"J","Monovalent"
"B7",256.488615086549,150,43.9260427562162,0.00315381758680787,"J","Monovalent"
"B8",256.488615086549,100,44.0955820120721,0.00315213215471019,"J","Monovalent"
"C1",256.488615086549,1000,48.377858344985,0.00311015040857531,"J","Monovalent"
"C2",256.488615086549,800,47.275971330971,0.00312084565382215,"J","Monovalent"
"C3",256.488615086549,600,46.7214748317117,0.00312625563291041,"J","Monovalent"
"C4",256.488615086549,400,45.4921834451251,0.00313831643126502,"J","Monovalent"
"C5",256.488615086549,250,44.3059556634234,0.00315004328052434,"J","Monovalent"
"C6",256.488615086549,200,44.2635692400601,0.00315046392753203,"J","Monovalent"
"C7",256.488615086549,150,44.137966826036,0.00315171107812067,"J","Monovalent"
"C8",256.488615086549,100,44.3075060818919,0.00315002789614947,"J","Monovalent"
"D1",91.3527478498354,1000,61.0552559704504,0.00299217316943818,"F","NTPCM"
"D2",91.3527478498354,800,60.52727672,0.00299690770024815,"F","NTPCM"
"D3",91.3527478498354,600,60.2079995197898,0.00299977802074804,"F","NTPCM"
"D4",91.3527478498354,400,59.3631509236737,0.00300739984936579,"F","NTPCM"
"D5",91.3527478498354,250,58.626822364054,0.00301407431922027,"F","NTPCM"
"D6",91.3527478498354,200,57.729296264024,0.00302225014164094,"F","NTPCM"
"D7",91.3527478498354,150,57.2524086935936,0.003026612317852,"F","NTPCM"
"D8",91.3527478498354,100,56.6188256407408,0.00303242733165271,"F","NTPCM"
"D9",91.3527478498354,50,57.3589888322823,0.00302563631788984,"F","NTPCM"
"E1",91.3527478498354,1000,60.8440642702703,0.00299406518551417,"F","NTPCM"
"E2",91.3527478498354,800,60.580074645045,0.00299643357304132,"F","NTPCM"
"E3",91.3527478498354,600,59.8911812962462,0.00300263167488132,"F","NTPCM"
"E4",91.3527478498354,400,58.9935296628729,0.0030107465920381,"F","NTPCM"
"E5",91.3527478498354,250,58.2044571405105,0.00301791624784438,"F","NTPCM"
