#
# This scattering intensity file was created by WAXSiS
#
# The calculated I(q) was interpolated to the experimental q-values
#
# q[A-1]        I(q)              sigma(q)
3.38503 99836.2 2123.02
3.39314 99293 2102.2
3.40126 98753.9 2083.18
3.40937 98241.1 2074.11
3.41748 97728.3 2065.04
3.4256 97214.9 2055.96
3.43371 96702 2046.89
3.44182 96189.2 2037.81
3.44994 95675.8 2028.73
3.45805 95163 2019.66
3.46617 94649.5 2010.58
3.47428 94136.7 2001.51
3.48239 93623.9 1992.44
3.49051 93110.5 1983.35
3.49862 92597.7 1974.28
3.50673 92133.2 1975.03
3.51485 91678.1 1977.79
3.52296 91223.5 1980.55
3.53108 90768.4 1983.31
3.53919 90313.8 1986.07
3.5473 89859.3 1988.83
3.55542 89404.2 1991.59
3.56353 88949.6 1994.35
3.57164 88495 1997.11
3.57976 88039.9 1999.87
3.58787 87585.4 2002.63
3.59599 87130.3 2005.4
3.6041 86721 2011.75
3.61221 86356 2021.62
3.62033 85990.5 2031.5
3.62844 85625.5 2041.37
3.63655 85260.5 2051.23
3.64467 84895 2061.11
3.65278 84530 2070.98
3.6609 84164.6 2080.86
3.66901 83799.6 2090.73
3.67712 83434.6 2100.6
3.68524 83069.1 2110.48
3.69335 82704.1 2120.35
3.70146 82360.1 2130.13
3.70958 82111.6 2139.51
3.71769 81863.4 2148.88
3.72581 81614.9 2158.26
3.73392 81366.7 2167.62
3.74203 81118.5 2176.99
3.75015 80870 2186.37
3.75826 80621.8 2195.74
3.76637 80373.6 2205.11
3.77449 80125.1 2214.49
3.7826 79876.9 2223.86
3.79072 79628.4 2233.24
3.79883 79380.2 2242.61
3.80694 79246.5 2247.08
3.81506 79131.9 2250.74
3.82317 79017.4 2254.38
3.83128 78902.9 2258.03
3.8394 78788.3 2261.69
3.84751 78673.9 2265.33
3.85562 78559.4 2268.98
3.86374 78444.8 2272.64
3.87185 78330.4 2276.29
3.87997 78215.8 2279.94
3.88808 78101.3 2283.59
3.89619 77986.9 2287.24
3.90431 77944.7 2287.39
3.91242 77966.4 2284.45
3.92053 77988.2 2281.51
3.92865 78010 2278.57
3.93676 78031.8 2275.64
3.94488 78053.6 2272.69
3.95299 78075.4 2269.76
3.9611 78097.2 2266.82
3.96922 78119 2263.88
3.97733 78140.7 2260.94
3.98544 78162.5 2258
3.99356 78184.3 2255.06
4.00167 78231.4 2251.1
4.00979 78376.5 2243.16
4.0179 78521.3 2235.24
4.02601 78666.2 2227.31
4.03413 78811.3 2219.38
4.04224 78956.1 2211.45
4.05035 79101 2203.53
4.05847 79246 2195.59
4.06658 79390.9 2187.67
4.0747 79536 2179.73
4.08281 79680.8 2171.81
4.09092 79825.7 2163.88
4.09904 79970.8 2155.95
4.10715 80200.6 2145.47
4.11526 80441.8 2134.66
4.12338 80683.3 2123.83
4.13149 80924.5 2113.01
4.13961 81166 2102.19
4.14772 81407.2 2091.37
4.15583 81648.5 2080.56
4.16395 81890 2069.73
4.17206 82131.2 2058.91
4.18017 82372.4 2048.1
4.18829 82613.9 2037.27
4.1964 82855.1 2026.45
4.20452 83130.3 2014.99
4.21263 83431.9 2003.04
4.22074 83733.6 1991.09
4.22886 84035.6 1979.12
4.23697 84337.2 1967.17
