#
# Fitted experimental I(q) and calculated I(q) in multi-column format
#
# Columns 1 though 5 are:
#   1) Q (from experimental data)
#   2) Fitted experimental I(q)
#   3) Experimental error after fit
#   4) Calculated/model I(q) (no fit)
#   5) Error of calculated I(q)
#
   2.92255         -612368 1.4038e+06          133950     3901.2
   2.93066         -178357 1.37197e+06          133227    3868.63
   2.93877          459739 1.38409e+06          132503    3836.06
   2.94689        -53575.7 1.39828e+06          131778    3803.45
     2.955          194696 1.38577e+06          131054    3770.87
   2.96311          482113 1.40691e+06          130330     3738.3
   2.97123      -1.75736e+06 1.41104e+06          129606    3705.69
   2.97934      1.48727e+06 1.42079e+06          128882    3673.12
   2.98746         -246356 1.40357e+06          128157     3640.5
   2.99557      1.52692e+06 1.37336e+06          127433    3607.93
   3.00368         -213035 1.36758e+06          126759    3573.61
    3.0118         -871548 1.32515e+06          126142    3537.12
   3.01991          203254 1.32859e+06          125526    3500.69
   3.02802          654853 1.33719e+06          124911    3464.25
   3.03614         -896468   1.33e+06          124294    3427.77
   3.04425      2.22535e+06 1.38917e+06          123679    3391.33
   3.05237      1.44394e+06 1.37141e+06          123062    3354.85
   3.06048         -116566 1.30403e+06          122446    3318.41
   3.06859      2.65822e+06 1.32373e+06          121831    3281.97
   3.07671         -734599 1.39363e+06          121214    3245.49
   3.08482      -1.65112e+06 1.37372e+06          120598    3209.05
   3.09293         -211706 1.33775e+06          119983    3172.61
   3.10105      1.29461e+06 1.36383e+06          119372    3136.31
   3.10916      -2.21433e+06 1.37073e+06          118800    3101.22
   3.11728      -1.58947e+06 1.39132e+06          118227    3066.08
   3.12539          935895 1.37486e+06          117655    3030.99
    3.1335      -2.06922e+06 1.33761e+06          117084     2995.9
   3.14162          917654 1.38367e+06          116511    2960.76
   3.14973          113156 1.35927e+06          115939    2925.67
   3.15784          484858 1.33275e+06          115367    2890.58
   3.16596      -1.13928e+06 1.33291e+06          114795    2855.45
   3.17407      1.00092e+06 1.37902e+06          114223    2820.36
   3.18219      -1.01459e+06 1.31796e+06          113650    2785.22
    3.1903          154215 1.35123e+06          113078    2750.13
   3.19841          346850 1.35824e+06          112506    2715.04
   3.20653         -688292 1.37908e+06          111946     2684.2
   3.21464      -1.01618e+06 1.31811e+06          111389    2654.45
   3.22275      2.31326e+06 1.36804e+06          110833     2624.7
   3.23087      -1.88787e+06 1.29984e+06          110275    2594.91
   3.23898         -341289 1.39097e+06          109719    2565.15
   3.24709      2.44429e+06 1.33756e+06          109162     2535.4
   3.25521         -606190 1.36486e+06          108605    2505.61
   3.26332          403345 1.36724e+06          108048    2475.86
   3.27144      -1.65679e+06 1.33649e+06          107491    2446.07
   3.27955      2.77871e+06 1.36818e+06          106934    2416.31
   3.28766         -101043 1.36258e+06          106378    2386.56
   3.29578      -1.18271e+06 1.36104e+06          105821    2356.77
   3.30389      -1.41578e+06 1.33666e+06          105270     2331.3
     3.312          847769 1.32693e+06          104727    2310.49
   3.32012      1.2201e+06 1.33378e+06          104183    2289.64
   3.32823          823120 1.30199e+06          103640    2268.82
   3.33635         -470622 1.33082e+06          103096    2247.98
   3.34446      3.39906e+06 1.31919e+06          102553    2227.16
   3.35257      1.06027e+06 1.33911e+06          102010    2206.34
   3.36069      -1.52358e+06 1.3009e+06          101466     2185.5
    3.3688        -84330.7 1.35814e+06          100923    2164.68
   3.37691          233901 1.29924e+06          100380    2143.86
   3.38503      -1.91907e+06 1.3471e+06         99836.2    2123.02
   3.39314         -795549 1.34175e+06           99293     2102.2
   3.40126         -458194 1.39311e+06         98753.9    2083.18
   3.40937         42757.8 1.35181e+06         98241.1    2074.11
   3.41748      -3.37591e+06 1.35057e+06         97728.3    2065.04
    3.4256      1.32389e+06 1.30388e+06         97214.9    2055.96
   3.43371          650012 1.30732e+06           96702    2046.89
   3.44182      -3.08784e+06 1.31099e+06         96189.2    2037.81
   3.44994      -1.34045e+06 1.34504e+06         95675.8    2028.73
   3.45805          661083 1.31167e+06           95163    2019.66
   3.46617          457037 1.26876e+06         94649.5    2010.58
   3.47428      -3.19743e+06 1.33213e+06         94136.7    2001.51
   3.48239          215844 1.32096e+06         93623.9    1992.44
   3.49051      1.07489e+06 1.35215e+06         93110.5    1983.35
   3.49862         -354255 1.30713e+06         92597.7    1974.28
   3.50673         -612259 1.28474e+06         92133.2    1975.03
   3.51485      1.63561e+06 1.34282e+06         91678.1    1977.79
   3.52296         -329420 1.30207e+06         91223.5    1980.55
   3.53108      -1.97115e+06  1.301e+06         90768.4    1983.31
   3.53919      -1.03641e+06 1.29315e+06         90313.8    1986.07
    3.5473          976970 1.31636e+06         89859.3    1988.83
   3.55542      1.31063e+06 1.2908e+06         89404.2    1991.59
